date	funestus_sc_1_arabiensis_sc_5	funestus_sc_0.5_arabiensis_sc_4	funestus_sc_1_arabiensis_sc_5	observed
20120215	0.0347490347922	0.0263959392905	0.0347490347922	NaN
20120216	0.0328185334802	0.0233502537012	0.0328185334802	NaN
20120217	0.0308880303055	0.0314720794558	0.0308880303055	NaN
20120218	0.0289575289935	0.0243654828519	0.0289575289935	NaN
20120219	0.0328502431512	0.0314720794558	0.0328502431512	NaN
20120220	0.0347826071084	0.0273556225002	0.0347826071084	NaN
20120221	0.0289575289935	0.0263424515724	0.0289575289935	NaN
20120222	0.0318532809615	0.0303951371461	0.0318532809615	NaN
20120223	0.0289575289935	0.0273556225002	0.0289575289935	NaN
20120224	0.0299227796495	0.0283687934279	0.0299227796495	NaN
20120225	0.0318532809615	0.0283975657076	0.0318532809615	NaN
20120226	0.0270270276815	0.0273833665997	0.0270270276815	NaN
20120227	0.0328185334802	0.0304568521678	0.0328185334802	NaN
20120228	0.0309178736061	0.0355329960585	0.0309178736061	NaN
20120229	0.0241545885801	0.0365482233465	0.0241545885801	NaN
20120301	0.0338164232671	0.0335025377572	0.0338164232671	NaN
20120302	0.0299516916275	0.0335025377572	0.0299516916275	NaN
20120303	0.0309178736061	0.0274111684412	0.0309178736061	NaN
20120304	0.0367149747908	0.0324873104692	0.0367149747908	NaN
20120305	0.0338164232671	0.0274390242994	0.0338164232671	NaN
20120306	0.037681158632	0.0304878056049	0.037681158632	NaN
20120307	0.0338164232671	0.0304878056049	0.0338164232671	NaN
20120308	0.0357487909496	0.0304878056049	0.0357487909496	NaN
20120309	0.0328502431512	0.0315040647984	0.0328502431512	NaN
20120310	0.0366795361042	0.0304878056049	0.0366795361042	NaN
20120311	0.0318532809615	0.0294715445489	0.0318532809615	NaN
20120312	0.0444015450776	0.033570703119	0.0444015450776	NaN
20120313	0.0415057912469	0.0345879942179	0.0415057912469	NaN
20120314	0.0434362925589	0.0365853644907	0.0434362925589	NaN
20120315	0.0424710437655	0.0315040647984	0.0424710437655	NaN
20120316	0.0482625477016	0.0355691052973	0.0482625477016	NaN
20120317	0.0463320463896	0.0355691052973	0.0463320463896	NaN
20120318	0.0521235503256	0.0365482233465	0.0521235503256	NaN
20120319	0.0472516864538	0.0355329960585	0.0472516864538	NaN
20120320	0.0520231202245	0.0355691052973	0.0520231202245	NaN
20120321	0.0491329468787	0.0345528461039	0.0491329468787	NaN
20120322	0.0452358052134	0.0355691052973	0.0452358052134	NaN
20120323	0.0423484109342	0.0376016274095	0.0423484109342	NaN
20120324	0.0481231957674	0.0325203239918	0.0481231957674	NaN
20120325	0.0423484109342	0.0325203239918	0.0423484109342	NaN
20120326	0.0452358052134	0.0335365869105	0.0452358052134	NaN
20120327	0.0471607297659	0.0325203239918	0.0471607297659	NaN
20120328	0.0519730523229	0.0243902429938	0.0519730523229	NaN
20120329	0.0452358052134	0.0284552853554	0.0452358052134	NaN
20120330	0.0481231957674	0.026422765106	0.0481231957674	NaN
20120331	0.0481231957674	0.0284263957292	0.0481231957674	NaN
20120401	0.0481231957674	0.0263959392905	0.0481231957674	NaN
20120402	0.0481231957674	0.0233502537012	0.0481231957674	NaN
20120403	0.0500481240451	0.0263959392905	0.0500481240451	NaN
20120404	0.0433526001871	0.0213197972626	0.0433526001871	NaN
20120405	0.0491329468787	0.0253807101399	0.0491329468787	NaN
20120406	0.0452793836594	0.0274390242994	0.0452793836594	NaN
20120407	0.0462427735329	0.0233739838004	0.0462427735329	NaN
20120408	0.0472061671317	0.0233739838004	0.0472061671317	NaN
20120409	0.0394990369677	0.0284552853554	0.0394990369677	NaN
20120410	0.038572806865	0.0274390242994	0.038572806865	NaN
20120411	0.0366441644728	0.0345528461039	0.0366441644728	NaN
20120412	0.0433526001871	0.0295015256852	0.0433526001871	NaN
20120413	0.04142582044	0.0295015256852	0.04142582044	NaN
20120414	0.04142582044	0.0325534082949	0.04142582044	NaN
20120415	0.0462427735329	0.0284842327237	0.0462427735329	NaN
20120416	0.0423484109342	0.0294715445489	0.0423484109342	NaN
20120417	0.0452793836594	0.0284552853554	0.0452793836594	NaN
20120418	0.0433944053948	0.0274390242994	0.0433944053948	NaN
20120419	0.0472516864538	0.0304878056049	0.0472516864538	NaN
20120420	0.04142582044	0.026422765106	0.04142582044	NaN
20120421	0.0443159937859	0.0274390242994	0.0443159937859	NaN
20120422	0.0452793836594	0.0243902429938	0.0452793836594	NaN
20120423	0.0404624268413	0.0304878056049	0.0404624268413	NaN
20120424	0.0394990369677	0.0284552853554	0.0394990369677	NaN
20120425	0.04142582044	0.0315040647984	0.04142582044	NaN
20120426	0.0385356470943	0.0314720794558	0.0385356470943	NaN
20120427	0.0356454737485	0.0345177650452	0.0356454737485	NaN
20120428	0.0394990369677	0.0283975657076	0.0394990369677	NaN
20120429	0.0404234826565	0.036511156708	0.0404234826565	NaN
20120430	0.0357142873108	0.0324543602765	0.0357142873108	NaN
20120501	0.0357142873108	0.0344478227198	0.0357142873108	NaN
20120502	0.0366795361042	0.0314083062112	0.0366795361042	NaN
20120503	0.0405797101557	0.0314083062112	0.0405797101557	NaN
20120504	0.0434782616794	0.0354609936476	0.0434782616794	NaN
20120505	0.0386473424733	0.0303951371461	0.0386473424733	NaN
20120506	0.0386100374162	0.0334685593843	0.0386100374162	NaN
20120507	0.0444015450776	0.0304259639233	0.0444015450776	NaN
20120508	0.0424710437655	0.0324873104692	0.0424710437655	NaN
20120509	0.0424710437655	0.0314720794558	0.0424710437655	NaN
20120510	0.045323047787	0.0345177650452	0.045323047787	NaN
20120511	0.0433944053948	0.0335025377572	0.0433944053948	NaN
20120512	0.0472516864538	0.0324873104692	0.0472516864538	NaN
20120513	0.0472061671317	0.0314720794558	0.0472061671317	NaN
20120514	0.0490856580436	0.0335025377572	0.0490856580436	NaN
20120515	0.0481231957674	0.0304568521678	0.0481231957674	NaN
20120516	0.0423484109342	0.0314720794558	0.0423484109342	NaN
20120517	0.0394990369677	0.0294416248798	0.0394990369677	NaN
20120518	0.0443159937859	0.0253807101399	0.0443159937859	NaN
20120519	0.0452793836594	0.0283975657076	0.0452793836594	NaN
20120520	0.0423892103136	0.0263691674918	0.0423892103136	NaN
20120521	0.0394990369677	0.0233502537012	0.0394990369677	NaN
20120522	0.0346820801496	0.0263959392905	0.0346820801496	NaN
20120523	0.0375722534955	0.0233502537012	0.0375722534955	NaN
20120524	0.0346820801496	0.0243902429938	0.0346820801496	NaN
20120525	0.0366088636219	0.0203252024949	0.0366088636219	NaN
20120526	0.0337186902762	0.0233739838004	0.0337186902762	NaN
20120527	0.0404624268413	0.0223577227443	0.0404624268413	NaN
20120528	0.04142582044	0.0254065040499	0.04142582044	NaN
20120529	0.0394990369677	0.0254065040499	0.0394990369677	NaN
20120530	0.0356454737485	0.0263959392905	0.0356454737485	NaN
20120531	0.0347155258059	0.0284263957292	0.0347155258059	NaN
20120601	0.035679847002	0.0243654828519	0.035679847002	NaN
20120602	0.0366441644728	0.0274111684412	0.0366441644728	NaN
20120603	0.0366441644728	0.0253807101399	0.0366441644728	NaN
20120604	0.0366441644728	0.0243654828519	0.0366441644728	NaN
20120605	0.0366795361042	0.0253807101399	0.0366795361042	0.032941176
20120606	0.0386100374162	0.0213197972626	0.0386100374162	NaN
20120607	0.035679847002	0.0274111684412	0.035679847002	NaN
20120608	0.0347155258059	0.0274390242994	0.0347155258059	NaN
20120609	0.0308582447469	0.0274390242994	0.0308582447469	NaN
20120610	0.0183220822364	0.0142276426777	0.0183220822364	NaN
20120611	0.018304431811	0.013211382553	0.018304431811	NaN
20120612	0.0202312134206	0.0162601619959	0.0202312134206	NaN
20120613	0.018304431811	0.0172764230519	0.018304431811	NaN
20120614	0.0240615978837	0.0233739838004	0.0240615978837	NaN
20120615	0.0230991337448	0.0243902429938	0.0230991337448	NaN
20120616	0.0298363808542	0.0274390242994	0.0298363808542	NaN
20120617	0.0307988449931	0.0243902429938	0.0307988449931	NaN
20120618	0.0298363808542	0.0284263957292	0.0298363808542	NaN
20120619	0.0279114525765	0.0253807101399	0.0279114525765	NaN
20120620	0.0240615978837	0.0263959392905	0.0240615978837	NaN
20120621	0.0269489903003	0.0253807101399	0.0269489903003	NaN
20120622	0.0278846155852	0.0223350245506	0.0278846155852	NaN
