date	funestus_sc_4.5_arabiensis_sc_18	funestus_sc_1_arabiensis_sc_12	funestus_sc_4_arabiensis_sc_62	observed
20120507	0.239195972681	0.104950495064	0.46579477191	NaN
20120508	0.229376256466	0.109900988638	0.459758549929	NaN
20120509	0.242971882224	0.108910888433	0.471830993891	NaN
20120510	0.240963861346	0.108803167939	0.470824956894	NaN
20120511	0.255020081997	0.104950495064	0.467336684465	NaN
20120512	0.262048184872	0.103857569396	0.48088529706	NaN
20120513	0.274371862412	0.102868445218	0.474849104881	NaN
20120514	0.262311547995	0.102868445218	0.476861178875	NaN
20120515	0.275376886129	0.0999010875821	0.475855141878	NaN
20120516	0.271356791258	0.0989119708538	0.486921519041	NaN
20120517	0.27035176754	0.0949554890394	0.487927556038	NaN
20120518	0.267336696386	0.0969337299466	0.484909445047	NaN
20120519	0.268072277307	0.0979228466749	0.487927556038	NaN
20120520	0.268072277307	0.0959446057677	0.503517568111	NaN
20120521	0.269076317549	0.0969337299466	0.51457285881	NaN
20120522	0.269076317549	0.090999007225	0.501507520676	NaN
20120523	0.260040163994	0.0890207737684	0.498993963003	NaN
20120524	0.256281405687	0.0929772481322	0.498489439488	NaN
20120525	0.256281405687	0.0890207737684	0.489425987005	NaN
20120526	0.271356791258	0.0949554890394	0.484390735626	NaN
20120527	0.258291453123	0.0989119708538	0.481369584799	NaN
20120528	0.249246224761	0.0959446057677	0.472306132317	NaN
20120529	0.252261310816	0.0999010875821	0.488418936729	NaN
20120530	0.256281405687	0.103754937649	0.486404836178	NaN
20120531	0.267605632544	0.0938735157251	0.475327283144	NaN
20120601	0.255276381969	0.102868445218	0.470292031765	NaN
20120602	0.256281405687	0.0999010875821	0.484390735626	NaN
20120603	0.245226129889	0.0960396006703	0.459214508533	NaN
20120604	0.245226129889	0.102970294654	0.4688128829	NaN
20120605	0.23517587781	0.0980198010802	0.458207458258	NaN
20120606	0.23015075922	0.0920792073011	0.465725809336	NaN
20120607	0.239195972681	0.100990101695	0.462701618671	NaN
20120608	0.228370219469	0.0990099012852	0.447129905224	NaN
20120609	0.217303827405	0.0990099012852	0.4481369555	NaN
20120610	0.11871227622	0.0544554442167	0.212487414479	NaN
20120611	0.121975809336	0.0495049506426	0.224572002888	NaN
20120612	0.115927420557	0.0534653477371	0.224798381329	NaN
20120613	0.126008063555	0.046534653753	0.228830650449	NaN
20120614	0.122860021889	0.0613861382008	0.211480364203	NaN
20120615	0.118831820786	0.0574257411063	0.215508565307	NaN
20120616	0.126760557294	0.0534653477371	0.205438062549	NaN
20120617	0.114688128233	0.0534653477371	0.227593153715	NaN
20120618	0.119718313217	0.0544015839696	0.222557902336	NaN
20120619	0.116700202227	0.0553907006979	0.225579053163	NaN
20120620	0.109657950699	0.0543478243053	0.214717745781	NaN
20120621	0.117587938905	0.0523715429008	0.217741936445	NaN
20120622	0.119597986341	0.0523715429008	0.223790317774	NaN
20120623	0.115577891469	0.0494071133435	0.21875	NaN
20120624	0.120603017509	0.0494071133435	0.219758063555	NaN
20120625	0.110552765429	0.0454545468092	0.211693555117	NaN
20120626	0.111557789147	0.053359683603	0.220988899469	NaN
20120627	0.111557789147	0.0523715429008	0.217961654067	NaN
20120628	0.113567836583	0.0543478243053	0.225806444883	NaN
20120629	0.111557789147	0.0464426875114	0.202620968223	NaN
20120630	0.106532663107	0.0513326749206	0.222782254219	NaN
20120701	0.109657950699	0.0494071133435	0.208669349551	NaN
20120702	0.109768375754	0.0513833984733	0.214717745781	NaN
20120703	0.116817727685	0.0474308282137	0.200604841113	NaN
20120704	0.101609654725	0.0523715429008	0.191532254219	NaN
20120705	0.116700202227	0.0464426875114	0.200604841113	NaN
20120706	0.112676054239	0.0454545468092	0.192540317774	NaN
20120707	0.107645876706	0.0424901172519	0.182459682226	NaN
20120708	0.106639839709	0.0553359687328	0.183467745781	NaN
20120709	0.106639839709	0.0474308282137	0.189516127109	NaN
20120710	0.108651913703	0.0484189726412	0.185483872891	NaN
20120711	0.101609654725	0.0454545468092	0.178427413106	NaN
20120712	0.0925553292036	0.0464426875114	0.195564523339	NaN
20120713	0.0995975881815	0.0454995036125	0.181634709239	NaN
20120714	0.0936555862427	0.0405539087951	0.181634709239	NaN
20120715	0.101711980998	0.0326409488916	0.177419349551	NaN
20120716	0.0946626365185	0.0425742566585	0.161127895117	NaN
20120717	0.0906344428658	0.0376237630844	0.172205433249	NaN
20120718	0.0824120566249	0.0425742566585	0.161127895117	NaN
20120719	0.0844221115112	0.0395647883415	0.152064457536	NaN
20120720	0.081407032907	0.0366336628795	0.156092643738	NaN
20120721	0.0804020091891	0.0386138595641	0.150050356984	NaN
20120722	0.0834170877933	0.0346534661949	0.15105740726	NaN
20120723	0.0743718594313	0.0306930691004	0.160120844841	NaN
20120724	0.0753768831492	0.0386138595641	0.14989939332	NaN
20120725	0.0804020091891	0.0316831693053	0.155935615301	NaN
20120726	0.0874371826649	0.039603959769	0.144869208336	NaN
20120727	0.0924623087049	0.0366336628795	0.142857149243	NaN
20120728	0.0783919617534	0.0375865474343	0.149043306708	NaN
20120729	0.0873493999243	0.0395647883415	0.148185476661	NaN
20120730	0.0883534103632	0.0375865474343	0.138244196773	NaN
20120731	0.0873493999243	0.0405539087951	0.130303025246	NaN
20120801	0.0853413641453	0.042532145977	0.1343434304	NaN
20120802	0.0904522612691	0.0375865474343	0.129292935133	NaN
20120803	0.0793969854713	0.0424901172519	0.12942366302	NaN
20120804	0.0824120566249	0.0415019765496	0.123481780291	0.0
20120805	0.0773869380355	0.0444664023817	0.11943320185	NaN
20120806	0.0863453820348	0.0434782616794	0.119312435389	NaN
20120807	0.0773092359304	0.0365612655878	0.115267947316	NaN
20120808	0.0924623087049	0.0365251712501	0.107178971171	NaN
20120809	0.0542168691754	0.0207305029035	0.0647118315101	NaN
20120810	0.0623115561903	0.0206896550953	0.0596562176943	NaN
20120811	0.0592964813113	0.0187192112207	0.0535894855857	NaN
20120812	0.0623115561903	0.0187192112207	0.0758341774344	NaN
20120813	0.0573440641165	0.0236453209072	0.0657229498029	NaN
20120814	0.0573440641165	0.0167487692088	0.0788675397634	NaN
20120815	0.0643863156438	0.0246305409819	0.0697674453258	NaN
20120816	0.0593561381102	0.019704433158	0.0859453976154	NaN
20120817	0.0583501011133	0.0226600989699	0.081900909543	NaN
20120818	0.0593561381102	0.0206896550953	0.0920121371746	NaN
20120819	0.0623742453754	0.0266009848565	0.0879676416516	NaN
20120820	0.0583501011133	0.0256410259753	0.081900909543	NaN
20120821	0.0573440641165	0.0266272183508	0.0829120352864	NaN
20120822	0.0533736161888	0.0246548317373	0.0900809690356	NaN
20120823	0.0533199198544	0.0285714287311	0.0840080976486	NaN
20120824	0.0523138828576	0.0295275598764	0.0869565233588	NaN
20120825	0.0482897385955	0.0246062986553	0.0899898856878	NaN
20120826	0.0482897385955	0.0187007877976	0.0898989886046	NaN
20120827	0.052366565913	0.0206692907959	0.0767676755786	NaN
20120828	0.048338368535	0.0177165362984	0.081900909543	NaN
20120829	0.0463242717087	0.0187007877976	0.0768452957273	NaN
20120830	0.048338368535	0.0177165362984	0.0798786655068	NaN
20120831	0.0352467261255	0.0137795275077	0.0758341774344	NaN
20120901	0.0393145158887	0.0157480314374	0.0808897912502	NaN
20120902	0.0383064523339	0.0187192112207	0.0717896893621	NaN
20120903	0.0372983887792	0.0137931033969	0.0626895874739	NaN
20120904	0.0342741943896	0.0167487692088	0.0647118315101	NaN
20120905	0.0383064523339	0.0157635472715	0.0657229498029	NaN
20120906	0.0362903214991	0.0137931033969	0.0647118315101	NaN
20120907	0.0343087799847	0.0157635472715	0.0617408901453	NaN
20120908	0.037336025387	0.0157635472715	0.0637651830912	NaN
20120909	0.0353178605437	0.0157635472715	0.0627530366182	NaN
20120910	0.0363636352122	0.0187376718968	0.0617408901453	NaN
20120911	0.0393939390779	0.0147928996012	0.0627530366182	NaN
20120912	0.0373737365007	0.0207100585103	0.0627530366182	NaN
20120913	0.0383838377893	0.0197238661349	0.0608519278467	NaN
20120914	0.041414141655	0.0207100585103	0.0567375868559	NaN
20120915	0.0393541865051	0.0147783253342	0.06180344522	NaN
20120916	0.0383451059461	0.0167818367481	0.0526849031448	NaN
20120917	0.0413723513484	0.0167984198779	0.0587044544518	NaN
20120918	0.0433905161917	0.0207305029035	0.0506072863936	NaN
20120919	0.0403632707894	0.0157790929079	0.0536437258124	NaN
20120920	0.0443995967507	0.0177339892834	0.0546558722854	NaN
