date	funestus_sc_1_arabiensis_sc_4.5	funestus_sc_0.05_arabiensis_sc_3	funestus_sc_0.02_arabiensis_sc_3	observed
20120215	0.0221793632954	0.00298210745677	0.014955134131	NaN
20120216	0.0192864034325	0.00199004984461	0.0129611166194	NaN
20120217	0.0231213867664	0.0029850746505	0.0179461613298	NaN
20120218	0.0192678235471	0.0029850746505	0.014955134131	NaN
20120219	0.0211946051568	0.0029850746505	0.0139442235231	NaN
20120220	0.0211946051568	0.0029850746505	0.0119521915913	NaN
20120221	0.0221579968929	0.000995024922304	0.015936255455	NaN
20120222	0.022136669606	0.00199004984461	0.0189243033528	NaN
20120223	0.0211538467556	0.00199004984461	0.0189243033528	NaN
20120224	0.0182692315429	0.00398009968922	0.0149402394891	NaN
20120225	0.0250000003725	0.00398009968922	0.0209163352847	NaN
20120226	0.0240384619683	0.00199004984461	0.0189054720104	NaN
