date	funestus_sc_26_arabiensis_sc_102	funestus_sc_65_arabiensis_sc_117	funestus_sc_9_arabiensis_sc_87	observed
20120301	0.446808516979	0.386546194553	0.445564508438	NaN
20120302	0.441742658615	0.38955822587	0.441977798939	NaN
20120303	0.459979742765	0.402206629515	0.459132194519	NaN
20120304	0.450861185789	0.388554215431	0.458669364452	NaN
20120305	0.460992902517	0.411055266857	0.480846762657	NaN
20120306	0.445233255625	0.397989958525	0.478830635548	NaN
20120307	0.455375254154	0.414070338011	0.479838699102	NaN
20120308	0.455375254154	0.400200605393	0.482862889767	NaN
20120309	0.466531425715	0.422266811132	0.486895173788	NaN
20120310	0.472616642714	0.411233693361	0.489919364452	NaN
20120311	0.475659221411	0.433299899101	0.497983872891	NaN
20120312	0.489858001471	0.440763056278	0.512096762657	NaN
20120313	0.493914812803	0.430150747299	0.506048381329	NaN
20120314	0.487829625607	0.440643876791	0.528225779533	NaN
20120315	0.493414372206	0.443661957979	0.524193525314	NaN
20120316	0.495440721512	0.462776660919	0.518108665943	NaN
20120317	0.501519739628	0.461770623922	0.534205257893	NaN
20120318	0.531914889813	0.455734401941	0.534205257893	NaN
20120319	0.534482777119	0.46579477191	0.530181109905	NaN
20120320	0.527918756008	0.463782697916	0.539235413074	NaN
20120321	0.527918756008	0.478873252869	0.547283709049	NaN
20120322	0.545177638531	0.4688128829	0.568410456181	NaN
20120323	0.537055850029	0.492957741022	0.548289716244	NaN
20120324	0.527918756008	0.507537662983	0.549295783043	NaN
20120325	0.532994925976	0.502512574196	0.551307857037	NaN
20120326	0.517766475678	0.502512574196	0.555332005024	NaN
20120327	0.512195110321	0.501507520676	0.548289716244	NaN
20120328	0.512690365314	0.503517568111	0.522132813931	NaN
20120329	0.517766475678	0.506036221981	0.532193183899	NaN
20120330	0.508629441261	0.485915482044	0.526156961918	NaN
20120331	0.508629441261	0.50050252676	0.541247487068	NaN
20120401	0.504568517208	0.489447236061	0.520120739937	NaN
20120402	0.490853667259	0.486432164908	0.548289716244	NaN
20120403	0.521341443062	0.49447235465	0.517587959766	NaN
20120404	0.507113814354	0.49447235465	0.503517568111	NaN
20120405	0.510162591934	0.49447235465	0.502512574196	NaN
20120406	0.510162591934	0.482412070036	0.51457285881	NaN
20120407	0.504065036774	0.481407046318	0.505527615547	NaN
20120408	0.509146332741	0.473366826773	0.48393574357	NaN
20120409	0.50304877758	0.493467330933	0.506024122238	NaN
20120410	0.521341443062	0.490452259779	0.489959836006	NaN
20120411	0.520325183868	0.482412070036	0.496987938881	NaN
20120412	0.509146332741	0.481407046318	0.511534631252	NaN
20120413	0.504065036774	0.467806845903	0.516549646854	NaN
20120414	0.507113814354	0.469818919897	0.509528577328	NaN
20120415	0.492886185646	0.484909445047	0.518036067486	NaN
20120416	0.5	0.467806845903	0.529529511929	NaN
20120417	0.516260147095	0.450704216957	0.506506502628	NaN
