date	funestus_sc_0.3_arabiensis_sc_3.5	funestus_sc_3_arabiensis_sc_4	funestus_sc_1.5_arabiensis_sc_2.5	observed
20120214	0.0110330991447	0.0378640778363	0.0151362260804	NaN
20120215	0.013039117679	0.0466019399464	0.019172552973	NaN
20120216	0.0100300898776	0.0349514558911	0.0161453075707	NaN
20120217	0.013039117679	0.0446601957083	0.0181634705514	NaN
20120218	0.0100300898776	0.0368574187159	0.0161290317774	NaN
20120219	0.0120481923223	0.0407371483743	0.019153226167	NaN
20120220	0.0100401602685	0.0339476242662	0.0151209672913	NaN
20120221	0.0140562253073	0.038834951818	0.0201612897217	NaN
20120222	0.0120481923223	0.0300970878452	0.0161453075707	NaN
20120223	0.0170682724565	0.0359223298729	0.0191339384764	NaN
20120224	0.0170682724565	0.0349514558911	0.0151057401672	NaN
20120225	0.0190763045102	0.0417881421745	0.0201409868896	NaN
20120226	0.0160642564297	0.0359572395682	0.0211480371654	NaN
