date	funestus_sc_1.75_arabiensis_sc_2	funestus_sc_0.1_arabiensis_sc_1.75	funestus_sc_1.75_arabiensis_sc_2	observed
20121114	0.000967118015978	0.00194552529138	0.000967118015978	NaN
20121115	0.00193423603196	0.00194552529138	0.00193423603196	NaN
20121116	0.00290135387331	0	0.00290135387331	NaN
20121117	0.00386847206391	0.00194552529138	0.00386847206391	NaN
20121118	0.00193423603196	0.000972762645688	0.00193423603196	NaN
20121119	0.00290135387331	0.000972762645688	0.00290135387331	NaN
20121120	0.000967118015978	0.000972762645688	0.000967118015978	NaN
20121121	0.00193423603196	0.00194552529138	0.00193423603196	NaN
20121122	0.00193610845599	0.000972762645688	0.00193610845599	NaN
20121123	0.00193610845599	0.00194552529138	0.00193610845599	NaN
20121124	0.000968054227997	0.00194552529138	0.000968054227997	NaN
20121125	0.00193610845599	0.000972762645688	0.00193610845599	NaN
20121126	0.0029041627422	0.00194552529138	0.0029041627422	NaN
20121127	0.00387221691199	0.000972762645688	0.00387221691199	NaN
20121128	0.00193610845599	0.000972762645688	0.00193610845599	NaN
20121129	0.00387221691199	0.000972762645688	0.00387221691199	NaN
20121130	0.0029041627422	0.000972762645688	0.0029041627422	NaN
20121201	0.00387221691199	0.000972762645688	0.00387221691199	NaN
20121202	0.00193610845599	0.000973709858954	0.00193610845599	NaN
20121203	0.00387221691199	0.000973709858954	0.00387221691199	NaN
20121204	0.00387221691199	0.000973709858954	0.00387221691199	NaN
20121205	0.00387221691199	0.000973709858954	0.00387221691199	NaN
20121206	0.00387221691199	0.000973709858954	0.00387221691199	NaN
20121207	0.00484027108178	0.00194741971791	0.00484027108178	NaN
20121208	0.00484027108178	0.000973709858954	0.00484027108178	NaN
20121209	0.0106485961005	0.00584225915372	0.0106485961005	NaN
20121210	0.00968054216355	0.00486854929477	0.00968054216355	NaN
20121211	0.0125847049057	0.0107108084485	0.0125847049057	NaN
20121212	0.0125847049057	0.0107108084485	0.0125847049057	NaN
20121213	0.0125847049057	0.0107108084485	0.0125847049057	NaN
20121214	0.0135527588427	0.0107108084485	0.0135527588427	NaN
20121215	0.0116166509688	0.0107108084485	0.0116166509688	NaN
20121216	0.00969932135194	0.00876338873059	0.00969932135194	NaN
20121217	0.00969932135194	0.00973709858954	0.00969932135194	NaN
20121218	0.00678952457383	0.00974658876658	0.00678952457383	NaN
20121219	0.00969932135194	0.00974658876658	0.00969932135194	NaN
20121220	0.00776699045673	0.00974658876658	0.00776699045673	NaN
20121221	0.00873786397278	0.00975609757006	0.00873786397278	NaN
20121222	0.00679611647502	0.00975609757006	0.00679611647502	NaN
20121223	0.00873786397278	0.00975609757006	0.00873786397278	NaN
20121224	0.00776699045673	0.00977517105639	0.00776699045673	NaN
20121225	0.00873786397278	0.00879765395075	0.00873786397278	NaN
20121226	0.00679611647502	0.00977517105639	0.00679611647502	NaN
20121227	0.0097087379545	0.00977517105639	0.0097087379545	NaN
20121228	0.00679611647502	0.010752688162	0.00679611647502	NaN
20121229	0.00873786397278	0.010752688162	0.00873786397278	NaN
