date	funestus_sc_1_arabiensis_sc_5	funestus_sc_0.15_arabiensis_sc_3.5	funestus_sc_1_arabiensis_sc_5	observed
20120215	0.0347490347922	0.0259740259498	0.0347490347922	NaN
20120216	0.0328185334802	0.0209790207446	0.0328185334802	NaN
20120217	0.0308880303055	0.0259740259498	0.0308880303055	NaN
20120218	0.0289575289935	0.0199800208211	0.0289575289935	NaN
20120219	0.0328502431512	0.0219780225307	0.0328502431512	NaN
20120220	0.0347826071084	0.0229770224541	0.0347826071084	NaN
20120221	0.0289575289935	0.0249750241637	0.0289575289935	NaN
20120222	0.0318532809615	0.0229312069714	0.0318532809615	NaN
20120223	0.0289575289935	0.0209371875972	0.0289575289935	NaN
20120224	0.0299227796495	0.0199401788413	0.0299227796495	NaN
20120225	0.0318532809615	0.0199401788413	0.0318532809615	NaN
20120226	0.0270270276815	0.014955134131	0.0270270276815	NaN
