date	funestus_sc_0.75_arabiensis_sc_5	funestus_sc_2.5_arabiensis_sc_4.5	funestus_sc_0.4_arabiensis_sc_3.5	observed
20120214	0.0256410259753	0.0564751699567	0.00908173527569	NaN
20120215	0.0307692307979	0.0593963004649	0.01412714459	NaN
20120216	0.0235897433013	0.0525803305209	0.00807265378535	NaN
20120217	0.0307692307979	0.0584225915372	0.0161453075707	NaN
20120218	0.0184615384787	0.0535540394485	0.0131180621684	NaN
20120219	0.0276923067868	0.0545277521014	0.0110998991877	NaN
20120220	0.0225641019642	0.0506329126656	0.0110998991877	NaN
20120221	0.0328205116093	0.0516066215932	0.012108980678	NaN
20120222	0.0266666673124	0.0477117821574	0.0100908176974	NaN
20120223	0.0256410259753	0.0564751699567	0.01412714459	NaN
20120224	0.0215384606272	0.0516066215932	0.012108980678	NaN
20120225	0.0276923067868	0.0555014610291	0.0161453075707	NaN
20120226	0.0235897433013	0.0555014610291	0.0131180621684	NaN
