date	funestus_sc_2_arabiensis_sc_4.5	funestus_sc_2.5_arabiensis_sc_2.5	funestus_sc_4_arabiensis_sc_62	observed
20120217	0.0308959838003	0.0489795915782	0.249747216701	NaN
20120218	0.0278063844889	0.0489795915782	0.25884732604	NaN
20120219	0.0288362521678	0.0459183678031	0.254802823067	NaN
20120220	0.0278063844889	0.045965269208	0.271255046129	NaN
20120221	0.0329557172954	0.049029622227	0.276315778494	NaN
20120222	0.0340206176043	0.046986721456	0.264170050621	NaN
20120223	0.0360824726522	0.043922368437	0.268958538771	NaN
20120224	0.0329557172954	0.0418794676661	0.268958538771	NaN
20120225	0.0360453128815	0.045965269208	0.265925168991	NaN
20120226	0.0288362521678	0.0408580191433	0.274014145136	NaN
20120227	0.0319587625563	0.045965269208	0.256825089455	NaN
20120228	0.0278925616294	0.0449438206852	0.270980775356	NaN
20120229	0.0330578498542	0.0418794676661	0.268958538771	NaN
