date	funestus_sc_1_arabiensis_sc_3	funestus_sc_1.5_arabiensis_sc_3	funestus_sc_4.5_arabiensis_sc_57	observed
20120218	0.0361328125	0.051102206111	0.298792749643	NaN
20120219	0.0361328125	0.0430861711502	0.298492461443	NaN
20120220	0.0360975600779	0.0420841686428	0.306841045618	NaN
20120221	0.0380487814546	0.0470941886306	0.291750490665	NaN
20120222	0.0360623784363	0.0430861711502	0.302816897631	NaN
20120223	0.0389863550663	0.0460921861231	0.307847082615	NaN
20120224	0.0360623784363	0.055110219866	0.293467342854	NaN
20120225	0.0409356728196	0.0501001998782	0.297786712646	NaN
20120226	0.039961013943	0.0541082173586	0.304828971624	NaN
20120227	0.039961013943	0.0541082173586	0.298492461443	NaN
20120228	0.039961013943	0.0521042086184	0.303517580032	NaN
20120229	0.042843233794	0.0531062111258	0.299497485161	NaN
20120301	0.0370009727776	0.0470470488071	0.305527627468	NaN
