date	funestus_sc_0.02_arabiensis_sc_3	funestus_sc_1.5_arabiensis_sc_3	funestus_sc_0.02_arabiensis_sc_3	observed
20120802	0.0168483648449	0.00915564596653	0.0168483648449	NaN
20120803	0.0178217813373	0.00712105818093	0.0178217813373	NaN
20120804	0.0198019798845	0.00508130062372	0.0198019798845	0.0
20120805	0.014851485379	0.00711382133886	0.014851485379	NaN
20120806	0.0158415846527	0.00711382133886	0.0158415846527	NaN
20120807	0.014851485379	0.00609756074846	0.014851485379	NaN
20120808	0.016831682995	0.00711382133886	0.016831682995	NaN
20120809	0.00594059424475	0.00508130062372	0.00594059424475	NaN
20120810	0.00692383758724	0.00508130062372	0.00692383758724	NaN
20120811	0.0108910892159	0.00610376382247	0.0108910892159	NaN
20120812	0.00990098994225	0.00305188191123	0.00990098994225	NaN
20120813	0.00891089066863	0.00508646992967	0.00891089066863	NaN
20120814	0.00693069305271	0.00407331995666	0.00693069305271	NaN
20120815	0.00792079232633	0.00612244894728	0.00792079232633	NaN
20120816	0.00694444449619	0.00204081623815	0.00694444449619	NaN
20120817	0.00892857182771	0.00408580200747	0.00892857182771	NaN
20120818	0.0109126986936	0.00408580200747	0.0109126986936	NaN
20120819	0.00795228593051	0.00204290100373	0.00795228593051	NaN
20120820	0.00795228593051	0.00306748459116	0.00795228593051	NaN
20120821	0.00894632190466	0.00408997945488	0.00894632190466	NaN
20120822	0.00993048679084	0.00102249486372	0.00993048679084	NaN
20120823	0.00892857182771	0.00307062431239	0.00892857182771	NaN
20120824	0.00694444449619	0.00204708287492	0.00694444449619	NaN
20120825	0.00793650839478	0.00204918021336	0.00793650839478	NaN
20120826	0.00892857182771	0.00204918021336	0.00892857182771	NaN
20120827	0.0079443892464	0.00307377055287	0.0079443892464	NaN
20120828	0.00892857182771	0.00204918021336	0.00892857182771	NaN
20120829	0.00793650839478	0.00409836042672	0.00793650839478	NaN
20120830	0.00495540117845	0.00102459010668	0.00495540117845	NaN
20120831	0.00495540117845	0.00307377055287	0.00495540117845	NaN
20120901	0.00792864244431	0.00307377055287	0.00792864244431	NaN
20120902	0.0059464816004	0.00409836042672	0.0059464816004	NaN
20120903	0.00495540117845	0.00204918021336	0.00495540117845	NaN
20120904	0.00495540117845	0.00511770742014	0.00495540117845	NaN
20120905	0.0059464816004	0.00409416574985	0.0059464816004	NaN
20120906	0.00495540117845	0.00307062431239	0.00495540117845	NaN
20120907	0.0029732408002	0.00409416574985	0.0029732408002	NaN
20120908	0.0029732408002	0.00511770742014	0.0029732408002	NaN
20120909	0.00694444449619	0.00409416574985	0.00694444449619	NaN
20120910	0.00694444449619	0.00307062431239	0.00694444449619	NaN
20120911	0.00496031763032	0.00102354143746	0.00496031763032	NaN
20120912	0.00694444449619	0.00204708287492	0.00694444449619	NaN
20120913	0.00694444449619	0.00102354143746	0.00694444449619	NaN
20120914	0.00595238106325	0.00204708287492	0.00595238106325	NaN
20120915	0.00496031763032	0.00204708287492	0.00496031763032	NaN
20120916	0.00595238106325	0.00204290100373	0.00595238106325	NaN
20120917	0.00693756202236	0.00102145050187	0.00693756202236	NaN
20120918	0.00693756202236	0.00306748459116	0.00693756202236	NaN
20120919	0.00693756202236	0.00306748459116	0.00693756202236	NaN
20120920	0.00793650839478	0.00306748459116	0.00793650839478	NaN
20120921	0.00892857182771	0.00408580200747	0.00892857182771	NaN
20120922	0.00891972240061	0.00306435138919	0.00891972240061	NaN
20120923	0.00792864244431	0.00306435138919	0.00792864244431	NaN
20120924	0.00891089066863	0.00306435138919	0.00891089066863	NaN
20120925	0.0109018832445	0.00306435138919	0.0109018832445	NaN
20120926	0.0109018832445	0.00306435138919	0.0109018832445	NaN
20120927	0.0059464816004	0.00204290100373	0.0059464816004	NaN
20120928	0.0128840431571	0.00511247431859	0.0128840431571	NaN
20120929	0.00891972240061	0.00408997945488	0.00891972240061	NaN
20120930	0.0099108023569	0.00511247431859	0.0099108023569	NaN
20121001	0.0109018832445	0.00511247431859	0.0109018832445	NaN
20121002	0.0099108023569	0.00408997945488	0.0099108023569	NaN
20121003	0.0109126986936	0.00306748459116	0.0109126986936	0.004405286
20121004	0.00992063526064	0.00408997945488	0.00992063526064	NaN
20121005	0.00595238106325	0.00409416574985	0.00595238106325	NaN
20121006	0.00793650839478	0.00306748459116	0.00793650839478	NaN
20121007	0.00793650839478	0.00510725239292	0.00793650839478	NaN
20121008	0.00496031763032	0.00102145050187	0.00496031763032	NaN
20121009	0.00496031763032	0.00204290100373	0.00496031763032	NaN
20121010	0.00595238106325	0.00204290100373	0.00595238106325	NaN
20121011	0.00496524339542	0.00204290100373	0.00496524339542	NaN
20121012	0.00297914608382	0	0.00297914608382	NaN
20121013	0.00595238106325	0.00102145050187	0.00595238106325	NaN
20121014	0.00297914608382	0.00102145050187	0.00297914608382	NaN
20121015	0.00496524339542	0.00102145050187	0.00496524339542	NaN
20121016	0.0039721946232	0	0.0039721946232	NaN
20121017	0.00297914608382	0.00102040811908	0.00297914608382	NaN
20121018	0.00297914608382	0.00204081623815	0.00297914608382	NaN
20121019	0.00297914608382	0.00204081623815	0.00297914608382	NaN
20121020	0.00496031763032	0.00204290100373	0.00496031763032	NaN
20121021	0.00396825419739	0.00204290100373	0.00396825419739	NaN
20121022	0.00297619053163	0.00204290100373	0.00297619053163	NaN
20121023	0.0029732408002	0.00306435138919	0.0029732408002	NaN
20121024	0.00396432122216	0.00204081623815	0.00396432122216	NaN
20121025	0.0029732408002	0.00306122447364	0.0029732408002	NaN
20121026	0.00297029712237	0.00204081623815	0.00297029712237	NaN
20121027	0.00594059424475	0.00204081623815	0.00594059424475	NaN
20121028	0.00495049497113	0.00102040811908	0.00495049497113	NaN
20121029	0.00693069305271	0.00101936794817	0.00693069305271	NaN
20121030	0.0059464816004	0.00204081623815	0.0059464816004	NaN
20121031	0.00892857182771	0.00204081623815	0.00892857182771	NaN
20121101	0.00595238106325	0.00306122447364	0.00595238106325	NaN
20121102	0.00693756202236	0.00306122447364	0.00693756202236	NaN
