date	funestus_sc_18_arabiensis_sc_57	funestus_sc_18_arabiensis_sc_57	funestus_sc_3.5_arabiensis_sc_57	observed
20120720	0.17925478518	0.17925478518	0.181726902723	NaN
20120721	0.178247734904	0.178247734904	0.180722892284	NaN
20120722	0.17505030334	0.17505030334	0.178714856505	NaN
20120723	0.179074451327	0.179074451327	0.17487436533	NaN
20120724	0.179074451327	0.179074451327	0.17487436533	NaN
20120725	0.180904522538	0.180904522538	0.173869341612	NaN
20120726	0.185297086835	0.185297086835	0.167839199305	NaN
20120727	0.189325273037	0.189325273037	0.15979899466	NaN
20120728	0.183098584413	0.183098584413	0.15979899466	NaN
20120729	0.190140843391	0.190140843391	0.170854270458	NaN
20120730	0.188944727182	0.188944727182	0.153923541307	NaN
20120731	0.192964822054	0.192964822054	0.156783923507	NaN
20120801	0.187939703465	0.187939703465	0.170854270458	NaN
20120802	0.180904522538	0.180904522538	0.152763813734	NaN
20120803	0.185929641128	0.185929641128	0.155778899789	NaN
20120804	0.180904522538	0.180904522538	0.143718600273	0.214953271
20120805	0.161809042096	0.161809042096	0.151758790016	NaN
20120806	0.175879403949	0.175879403949	0.144723623991	NaN
20120807	0.173869341612	0.173869341612	0.145728647709	NaN
20120808	0.17505030334	0.17505030334	0.149598389864	NaN
20120809	0.0985915511847	0.0985915511847	0.0803212821484	NaN
20120810	0.0945674031973	0.0945674031973	0.0793172717094	NaN
20120811	0.101609654725	0.101609654725	0.0793172717094	NaN
20120812	0.102615691721	0.102615691721	0.0853413641453	NaN
20120813	0.104627765715	0.104627765715	0.0783132538199	NaN
20120814	0.109657950699	0.109657950699	0.0863453820348	NaN
20120815	0.110663980246	0.110663980246	0.0833333358169	NaN
20120816	0.121852971613	0.121852971613	0.0783132538199	NaN
20120817	0.122860021889	0.122860021889	0.0853413641453	NaN
20120818	0.11782477051	0.11782477051	0.0804020091891	NaN
20120819	0.129909366369	0.129909366369	0.0884422138333	NaN
20120820	0.115810677409	0.115810677409	0.0804020091891	NaN
20120821	0.118831820786	0.118831820786	0.0764587521553	NaN
20120822	0.115810677409	0.115810677409	0.0723618119955	NaN
20120823	0.119838871062	0.119838871062	0.0844221115112	NaN
20120824	0.107754282653	0.107754282653	0.0743718594313	NaN
20120825	0.115810677409	0.115810677409	0.0773092359304	NaN
20120826	0.0955734401941	0.0955734401941	0.0803212821484	NaN
20120827	0.100704938173	0.100704938173	0.0783132538199	NaN
20120828	0.0926485434175	0.0926485434175	0.0742971897125	NaN
20120829	0.0957661271095	0.0957661271095	0.0813253000379	NaN
20120830	0.100704938173	0.100704938173	0.0803212821484	NaN
20120831	0.101609654725	0.101609654725	0.0803212821484	NaN
20120901	0.105633802712	0.105633802712	0.0863453820348	NaN
20120902	0.096579477191	0.096579477191	0.0933734923601	NaN
20120903	0.104627765715	0.104627765715	0.0873493999243	NaN
20120904	0.103621728718	0.103621728718	0.0923694744706	NaN
20120905	0.0995975881815	0.0995975881815	0.0913654640317	NaN
20120906	0.106639839709	0.106639839709	0.0833333358169	NaN
20120907	0.109547741711	0.109547741711	0.0803212821484	NaN
20120908	0.109547741711	0.109547741711	0.0823293179274	NaN
20120909	0.0954773873091	0.0954773873091	0.0793172717094	NaN
20120910	0.103413656354	0.103413656354	0.0773092359304	NaN
20120911	0.0943775102496	0.0943775102496	0.0833333358169	NaN
20120912	0.100401610136	0.100401610136	0.0793172717094	NaN
20120913	0.0953815281391	0.0953815281391	0.0822467431426	NaN
20120914	0.0943775102496	0.0943775102496	0.0722891539335	NaN
20120915	0.101405620575	0.101405620575	0.073293171823	NaN
20120916	0.0943775102496	0.0943775102496	0.0773092359304	NaN
20120917	0.104417674243	0.104417674243	0.0692771077156	NaN
20120918	0.100502513349	0.100502513349	0.0643216073513	NaN
20120919	0.0984924659133	0.0984924659133	0.0713567808271	NaN
20120920	0.114572867751	0.114572867751	0.0613065324724	NaN
20120921	0.100502513349	0.100502513349	0.0793969854713	NaN
20120922	0.110441766679	0.110441766679	0.0702811256051	NaN
20120923	0.116465866566	0.116465866566	0.0742971897125	NaN
20120924	0.116465866566	0.116465866566	0.0682730898261	NaN
20120925	0.132530122995	0.132530122995	0.0651955902576	NaN
20120926	0.13955822587	0.13955822587	0.0631895661354	NaN
20120927	0.134538158774	0.134538158774	0.0672016069293	NaN
20120928	0.122367098928	0.122367098928	0.0551654957235	NaN
20120929	0.127510040998	0.127510040998	0.0641925781965	NaN
20120930	0.13955822587	0.13955822587	0.0641925781965	NaN
20121001	0.132530122995	0.132530122995	0.0692771077156	NaN
20121002	0.137412235141	0.137412235141	0.0532128512859	NaN
20121003	0.129388168454	0.129388168454	0.0682730898261	0.246376812
20121004	0.13955822587	0.13955822587	0.0602409653366	NaN
20121005	0.136546179652	0.136546179652	0.0652610436082	NaN
20121006	0.143574297428	0.143574297428	0.0682730898261	NaN
20121007	0.138554215431	0.138554215431	0.0592369474471	NaN
20121008	0.0773092359304	0.0773092359304	0.0341023057699	NaN
20121009	0.076381906867	0.076381906867	0.0331658273935	NaN
20121010	0.0844221115112	0.0844221115112	0.0341708548367	NaN
20121011	0.101507537067	0.101507537067	0.0412060283124	NaN
20121012	0.0994974896312	0.0994974896312	0.0371485948563	NaN
20121013	0.105527639389	0.105527639389	0.0421686731279	NaN
20121014	0.103517584503	0.103517584503	0.0421686731279	NaN
20121015	0.10943774879	0.10943774879	0.0491967871785	NaN
20121016	0.111445784569	0.111445784569	0.048192769289	NaN
20121017	0.105421684682	0.105421684682	0.048192769289	NaN
20121018	0.127510040998	0.127510040998	0.0512048192322	NaN
20121019	0.12449799478	0.12449799478	0.0552208833396	NaN
20121020	0.137550204992	0.137550204992	0.0542168691754	NaN
20121021	0.134538158774	0.134538158774	0.0572289153933	NaN
20121022	0.123618088663	0.123618088663	0.0522088371217	NaN
20121023	0.121608041227	0.121608041227	0.0582329332829	NaN
20121024	0.126633167267	0.126633167267	0.0471887551248	NaN
20121025	0.132663309574	0.132663309574	0.0542168691754	NaN
20121026	0.128643214703	0.128643214703	0.0512048192322	NaN
20121027	0.130653262138	0.130653262138	0.0552208833396	NaN
20121028	0.140703514218	0.140703514218	0.0552208833396	NaN
20121029	0.138693466783	0.138693466783	0.0491967871785	NaN
20121030	0.141708537936	0.141708537936	0.0532128512859	NaN
20121031	0.154929578304	0.154929578304	0.0541624873877	NaN
20121101	0.127766594291	0.127766594291	0.0501504503191	NaN
20121102	0.15105740726	0.15105740726	0.0481444336474	NaN
20121103	0.156092643738	0.156092643738	0.0511534586549	NaN
20121104	0.149043306708	0.149043306708	0.0531594790518	NaN
20121105	0.150050356984	0.150050356984	0.0481444336474	NaN
20121106	0.158106744289	0.158106744289	0.0481444336474	NaN
20121107	0.150050356984	0.150050356984	0.0430861711502	NaN
20121108	0.152064457536	0.152064457536	0.0470941886306	NaN
20121109	0.164989933372	0.164989933372	0.0400801599026	NaN
20121110	0.165995970368	0.165995970368	0.0410821661353	NaN
20121111	0.174523577094	0.174523577094	0.0370741486549	NaN
20121112	0.165662646294	0.165662646294	0.0400801599026	NaN
20121113	0.178714856505	0.178714856505	0.0420841686428	NaN
20121114	0.183734938502	0.183734938502	0.0400801599026	NaN
20121115	0.191767066717	0.191767066717	0.0370741486549	NaN
20121116	0.18674698472	0.18674698472	0.0360721461475	NaN
20121117	0.193580746651	0.193580746651	0.0380380377173	NaN
20121118	0.195586755872	0.195586755872	0.037037037313	NaN
20121119	0.205616846681	0.205616846681	0.0280280280858	NaN
20121120	0.199598789215	0.199598789215	0.0320641286671	NaN
20121121	0.194388777018	0.194388777018	0.0290581155568	NaN
