date	funestus_sc_0.3_arabiensis_sc_1.25	funestus_sc_0.02_arabiensis_sc_2	funestus_sc_0.3_arabiensis_sc_1.25	observed
20121226	0.00402414472774	0.0117762507871	0.00402414472774	NaN
20121227	0.00402414472774	0.0127576058731	0.00402414472774	NaN
20121228	0.00402414472774	0.0137524558231	0.00402414472774	NaN
20121229	0.00402414472774	0.0108055006713	0.00402414472774	NaN
20121230	0.00402414472774	0.0127701377496	0.00402414472774	NaN
20121231	0.00502512557432	0.0117878196761	0.00502512557432	NaN
20130101	0.00402010045946	0.0108055006713	0.00402010045946	NaN
20130102	0.00502512557432	0.00982318259776	0.00502512557432	NaN
20130103	0.00402010045946	0.0117762507871	0.00402010045946	NaN
20130104	0.00502512557432	0.0117762507871	0.00502512557432	NaN
20130105	0.00502512557432	0.0117762507871	0.00502512557432	NaN
20130106	0.00402010045946	0.0117762507871	0.00402010045946	NaN
20130107	0.00301507534459	0.0117762507871	0.00301507534459	NaN
20130108	0.00402010045946	0.0107948966324	0.00402010045946	NaN
20130109	0.00301507534459	0.0107948966324	0.00301507534459	NaN
20130110	0.00402010045946	0.00982318259776	0.00402010045946	NaN
20130111	0.00301507534459	0.00883218832314	0.00301507534459	NaN
20130112	0.00502512557432	0.00882352981716	0.00502512557432	NaN
20130113	0.00402010045946	0.00686274515465	0.00402010045946	NaN
20130114	0.00401606410742	0.00784313771874	0.00401606410742	NaN
20130115	0.00300902710296	0.00882352981716	0.00300902710296	NaN
20130116	0.00401606410742	0.010784314014	0.00401606410742	NaN
20130117	0.00301204808056	0.00686274515465	0.00301204808056	NaN
20130118	0.00602409616113	0.0117647061124	0.00602409616113	NaN
20130119	0.00502008013427	0.00882352981716	0.00502008013427	NaN
20130120	0.00502008013427	0.010784314014	0.00502008013427	NaN
20130121	0.00301204808056	0.00883218832314	0.00301204808056	NaN
20130122	0.00502008013427	0.00981354247779	0.00502008013427	NaN
20130123	0.00602409616113	0.00981354247779	0.00602409616113	NaN
20130124	0.00602409616113	0.00981354247779	0.00602409616113	NaN
20130125	0.00401606410742	0.0107948966324	0.00401606410742	NaN
20130126	0.00602409616113	0.0107948966324	0.00602409616113	NaN
20130127	0.00301204808056	0.0117762507871	0.00301204808056	NaN
20130128	0.00601202389225	0.010784314014	0.00601202389225	NaN
20130129	0.00501001998782	0.010784314014	0.00501001998782	NaN
20130130	0.00600600615144	0.0117647061124	0.00600600615144	NaN
20130131	0.00500500481576	0.010784314014	0.00500500481576	NaN
20130201	0.00500500481576	0.010784314014	0.00500500481576	NaN
20130202	0.002000000095	0.00882352981716	0.002000000095	NaN
20130203	0.00499999988824	0.0107632093131	0.00499999988824	NaN
20130204	0.00400000018999	0.00782778859139	0.00400000018999	NaN
20130205	0.00399600388482	0.00684931501746	0.00399600388482	NaN
20130206	0.00399600388482	0.00293255131692	0.00399600388482	NaN
20130207	0.00399600388482	0.00585365854204	0.00399600388482	NaN
20130208	0.00299401208758	0.00390243902803	0.00299401208758	NaN
20130209	0.00399201596156	0.00585365854204	0.00399201596156	NaN
20130210	0.00199600798078	0.00487804878503	0.00199600798078	NaN
20130211	0.00399201596156	0.00780487805605	0.00399201596156	NaN
20130212	0.000998003990389	0.0068226121366	0.000998003990389	NaN
20130213	0.00299401208758	0.00584795325994	0.00299401208758	NaN
20130214	0.000998003990389	0.00487329438329	0.000998003990389	NaN
20130215	0.00199600798078	0.00487329438329	0.00199600798078	NaN
20130216	0.000998003990389	0.00487329438329	0.000998003990389	NaN
20130217	0.00399201596156	0.00584225915372	0.00399201596156	NaN
20130218	0.000998003990389	0.00292112957686	0.000998003990389	NaN
20130219	0.00199600798078	0.00486854929477	0.00199600798078	NaN
20130220	0.00299401208758	0.00486854929477	0.00299401208758	NaN
20130221	0.00299401208758	0.00681596901268	0.00299401208758	NaN
20130222	0.00399201596156	0.00584225915372	0.00399201596156	NaN
20130223	0.00399201596156	0.00973709858954	0.00399201596156	NaN
20130224	0.00199600798078	0.00681596901268	0.00199600798078	NaN
20130225	0.00399201596156	0.00778967887163	0.00399201596156	NaN
20130226	0.000998003990389	0.00584225915372	0.000998003990389	NaN
20130227	0.00399201596156	0.00778967887163	0.00399201596156	NaN
20130228	0.00199600798078	0.00778967887163	0.00199600798078	NaN
20130301	0.00399201596156	0.00876338873059	0.00399201596156	NaN
20130302	0.00199600798078	0.00778967887163	0.00199600798078	NaN
20130303	0.00298804789782	0.00778967887163	0.00298804789782	NaN
20130304	0.00199203193188	0.00584225915372	0.00199203193188	NaN
20130305	0.00399201596156	0.00778967887163	0.00399201596156	NaN
20130306	0.00299700303003	0.00584225915372	0.00299700303003	NaN
20130307	0.00399201596156	0.00875486340374	0.00399201596156	NaN
20130308	0.00299401208758	0.00778967887163	0.00299401208758	NaN
20130309	0.00499001983553	0.00973709858954	0.00499001983553	NaN
20130310	0.00299401208758	0.00778967887163	0.00299401208758	NaN
20130311	0.00399201596156	0.0107108084485	0.00399201596156	NaN
20130312	0.00299401208758	0.00585365854204	0.00299401208758	NaN
20130313	0.00499001983553	0.00975609757006	0.00499001983553	NaN
20130314	0.00399201596156	0.00780487805605	0.00399201596156	NaN
20130315	0.00499001983553	0.00974658876658	0.00499001983553	NaN
20130316	0.00299700303003	0.0068226121366	0.00299700303003	NaN
20130317	0.00399600388482	0.0107212476432	0.00399600388482	NaN
20130318	0.0029910269659	0.0068226121366	0.0029910269659	NaN
20130319	0.00199401797727	0.00974658876658	0.00199401797727	NaN
20130320	0.00199401797727	0.00487329438329	0.00199401797727	NaN
20130321	0.0029910269659	0.00877192988992	0.0029910269659	NaN
20130322	0.000997008988634	0.00487804878503	0.000997008988634	NaN
20130323	0.00199401797727	0.00682926829904	0.00199401797727	NaN
20130324	0.000998003990389	0.00780487805605	0.000998003990389	NaN
20130325	0.000998003990389	0.00682926829904	0.000998003990389	NaN
