date	funestus_sc_1.5_arabiensis_sc_16	funestus_sc_2.5_arabiensis_sc_23	funestus_sc_3_arabiensis_sc_62	observed
20120221	0.125628143549	0.133611693978	0.1897880584	NaN
20120222	0.132663309574	0.113660059869	0.17919075489	NaN
20120223	0.119597986341	0.123044840991	0.185934484005	NaN
20120224	0.127638190985	0.116788320243	0.201348751783	NaN
20120225	0.134673371911	0.112617306411	0.203079879284	NaN
20120226	0.133668348193	0.102189779282	0.191899716854	NaN
20120227	0.135678395629	0.10844630003	0.205400198698	NaN
20120228	0.136546179652	0.102296449244	0.189006745815	NaN
20120229	0.135542169213	0.107515655458	0.194792672992	NaN
20120301	0.135542169213	0.0980187729001	0.190935388207	NaN
20120302	0.130522087216	0.103340290487	0.185149475932	NaN
20120303	0.118473894894	0.0981210842729	0.192678228021	NaN
20120304	0.126379132271	0.112734861672	0.181117534637	NaN
20120305	0.111222445965	0.112852662802	0.193641617894	NaN
