date	funestus_sc_1.5_arabiensis_sc_5.5	funestus_sc_1_arabiensis_sc_18	funestus_sc_4_arabiensis_sc_57	observed
20120220	0.119838871062	0.0896686166525	0.200411096215	NaN
20120221	0.119838871062	0.0916179344058	0.20554985106	NaN
20120222	0.130916416645	0.0829268321395	0.198355600238	NaN
20120223	0.125881165266	0.0878048762679	0.207818925381	NaN
20120224	0.129909366369	0.0839024409652	0.204732507467	NaN
20120225	0.121089808643	0.0926829278469	0.207818925381	NaN
20120226	0.136226028204	0.0858536586165	0.195473253727	NaN
20120227	0.126135215163	0.0936585366726	0.207605347037	NaN
20120228	0.138244196773	0.0819512158632	0.194244608283	NaN
20120229	0.132189705968	0.0926829278469	0.185831621289	NaN
20120301	0.132189705968	0.0907317101955	0.197327852249	NaN
20120302	0.138104841113	0.0975609719753	0.216855093837	NaN
20120303	0.125	0.0858536586165	0.195071861148	NaN
20120304	0.121975809336	0.0917073190212	0.204312115908	NaN
20120305	0.131048381329	0.0839024409652	0.210472285747	NaN
20120306	0.126135215163	0.0986328125	0.20636549592	NaN
20120307	0.118062563241	0.0889540538192	0.222792610526	NaN
20120308	0.126135215163	0.11143694818	0.2186858356	NaN
20120309	0.126135215163	0.0987292304635	0.223589748144	NaN
20120310	0.130171537399	0.100684262812	0.225641027093	NaN
20120311	0.13737373054	0.09579667449	0.237948715687	NaN
20120312	0.129292935133	0.100684262812	0.230769231916	NaN
20120313	0.115151517093	0.0987292304635	0.236680328846	NaN
20120314	0.130303025246	0.121212124825	0.255122959614	NaN
20120315	0.127272725105	0.113391987979	0.264344274998	NaN
20120316	0.127272725105	0.112414464355	0.253073781729	NaN
20120317	0.124242424965	0.109481915832	0.270491808653	NaN
20120318	0.125252529979	0.113502934575	0.281025648117	NaN
20120319	0.133198782802	0.0998043045402	0.30461537838	NaN
20120320	0.131048381329	0.104696676135	0.303589731455	NaN
20120321	0.129032254219	0.102739728987	0.32512819767	NaN
20120322	0.136088714004	0.114593535662	0.329230755568	NaN
20120323	0.141129031777	0.102739728987	0.340512812138	NaN
20120324	0.135080650449	0.116438359022	0.350769221783	NaN
20120325	0.140120968223	0.114481411874	0.36615383625	NaN
20120326	0.151209682226	0.113502934575	0.385641038418	NaN
20120327	0.143145158887	0.118511267006	0.380512833595	NaN
20120328	0.155085593462	0.113725490868	0.404102563858	NaN
20120329	0.156092643738	0.110784314573	0.402051270008	NaN
20120330	0.160120844841	0.109803922474	0.419487178326	NaN
20120331	0.163141995668	0.110784314573	0.440573781729	NaN
20120401	0.16515609622	0.108823530376	0.44569671154	NaN
20120402	0.161127895117	0.108930326998	0.430327862501	NaN
20120403	0.16515609622	0.116781160235	0.453893452883	NaN
