iteration,sample,Magude_ChannelBySeasonCohortAnalyzer,total,funestus1,funestus10,funestus11,funestus12,funestus2,funestus3,funestus4,funestus5,funestus6,funestus7,funestus8,funestus9,funestus_max,gambiae1,gambiae10,gambiae11,gambiae12,gambiae2,gambiae3,gambiae4,gambiae5,gambiae6,gambiae7,gambiae8,gambiae9,gambiae_max,outputs
1,28,-20.183066245051663,-20.183066245051663,18.99018094116293,0.1,8.084026488874912,0.1,0.1,4.572440029310428,1.4105842312230328,3.4409909251932462,17.55705055318706,5.926036343740528,2.169279914331433,0.1,7.0,6.298124064475534,0.1,2.212750951426784,5.017473663879531,0.1,18.493303605874765,2.9695586789904698,0.1,0.8691677407873661,0.1,11.760467313105078,0.1,4.7834412764637175,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter1_20180201_212310\cfa\c24\239\cfac2423-9607-e811-9415-f0921c16b9e5
1,18,-17.845077083552614,-17.845077083552614,8.195019614122979,2.0396828749662395,0.1,4.787600552951135,0.1,6.7010631857255145,0.1,5.560515067078723,21.59870726605377,0.1,9.215295568693376,8.419973224130919,4.148054233095674,20.38125085480021,1.3134775387996216,5.859578967142331,3.2234020890885446,0.1,12.150248832314125,0.1,0.1,9.056866481759462,0.1,0.1,0.1,7.0,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter1_20180201_212310\b9a\c24\239\b9ac2423-9607-e811-9415-f0921c16b9e5
0,8,-17.468344049471725,-17.468344049471725,3.851582059389553,7.706799971869564,4.6217965331576165,13.207647009381375,4.628386440609074,0.1,6.99451426346797,0.1,0.1,12.248908009237967,0.1,0.1,6.848548916588683,0.1,0.7248868556961335,9.75208009762405,5.291486974523217,0.1,12.707148970586926,0.1,0.1,3.3548729330296294,0.11807140718335052,0.1,0.1,6.019223333517675,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\bd4\f86\fd9\bd4f86fd-9507-e811-9415-f0921c16b9e5
1,22,-16.132606057609088,-16.132606057609088,6.341421724363704,1.1875201867269878,0.1,0.1,0.1,0.1,4.160048464287458,29.518874292159637,31.15930488645442,0.1,4.271495101899772,1.4554891374691488,4.5818087526445055,23.10626862978826,6.314811219307559,18.470496646810936,13.664174852075265,15.961985769549994,0.1,10.029748804077188,0.1,0.1,0.1,0.1,0.1,6.643266255003233,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter1_20180201_212310\d5a\c24\239\d5ac2423-9607-e811-9415-f0921c16b9e5
0,7,-15.435071791417984,-15.435071791417984,0.1,0.9249252934956204,0.1,6.921786328615495,9.366258054829894,6.6462377510562325,6.242657042890109,0.1,0.1,1.2875205918396246,1.0959202557359229,0.1,6.398786812215929,0.1,0.1,7.428771161321455,0.1,4.876201091037488,20.53398401227301,2.7822718000734388,0.1,0.1,0.1,4.174252889885123,0.1,6.836886517958956,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\c04\f86\fd9\c04f86fd-9507-e811-9415-f0921c16b9e5
0,25,-14.963275639567266,-14.963275639567266,0.1,0.1,0.1,0.24125452256214264,12.564054289070427,1.8042878544934091,0.1,0.1,0.1,10.597880887993345,8.835196396244493,0.1,6.5034537221637185,1.779101644339432,2.4938439734992444,0.1,0.1,0.1,11.43544144901253,0.1,0.1,13.297972074951947,1.3890641782752096,7.986045211634692,11.107186563586971,6.684446315593277,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\cc4\f86\fd9\cc4f86fd-9507-e811-9415-f0921c16b9e5
0,1,-13.31049450332686,-13.31049450332686,0.1,0.1,0.1,18.986887937521285,0.1,7.559269700980091,0.1,5.491619319849051,0.1,0.1,1.1695505221984637,0.1,7.0,0.1,0.1,0.1,2.1209292502746107,0.1,0.1,2.8045016831294034,0.1,3.9245762895868577,3.4076430063947303,9.66499798020258,0.33489494909156325,6.383639377404605,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\c44\f86\fd9\c44f86fd-9507-e811-9415-f0921c16b9e5
0,23,-12.024320104933816,-12.024320104933816,0.1,0.1,7.945394444659836,0.1,4.109118562562193,0.1,4.080174059491546,1.3893848334852243,0.1,5.388205580917852,0.1,0.1,5.780735495495285,0.1,0.1,0.1,11.83798870840126,0.1,4.814158691739458,0.1,0.1,0.1,10.997185541385482,2.1808443421556163,0.1,6.945715067312268,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\cd4\f86\fd9\cd4f86fd-9507-e811-9415-f0921c16b9e5
0,2,-11.850875040660922,-11.850875040660922,0.1,0.1,5.4152643221355365,2.122858580675548,15.877754734956946,0.1,0.1,0.1,4.0418938503060335,7.30969923573504,0.7703138880302236,1.3113988237757883,6.869033906528308,0.1,15.819531928167677,0.1,0.1,0.1,9.526590222306186,0.1,0.1,10.276766786020453,0.1,0.1,5.2582164110651615,5.271596162455325,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\c34\f86\fd9\c34f86fd-9507-e811-9415-f0921c16b9e5
0,17,-11.345765348972554,-11.345765348972554,0.1,0.1,0.1,0.1,0.1,15.168417141526618,6.522092889954799,0.5869310400162819,0.9152892405512204,13.396044845967305,8.23002926375687,7.3446175144793475,6.703317871792435,0.3303556456981821,8.193108681742427,15.547203174928667,0.1,0.1,0.1,5.684351407287423,22.54742540362144,6.069797157553195,0.1,2.1938102367983303,0.1,4.842203798855153,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\b54\f86\fd9\b54f86fd-9507-e811-9415-f0921c16b9e5
0,28,-11.140253026528985,-11.140253026528985,6.1962961922480355,0.1,0.1,9.443633922366038,0.1,3.863164024342229,10.470035271827461,5.913092969672929,0.1,0.1,17.94379216674205,0.1,6.630495655059277,12.09013829890225,0.1,9.923636638839497,0.1,14.544034438136276,1.7101862288461571,5.550989940406756,2.6984412147247423,14.989196957734528,0.1,0.29463570867164984,6.254338789868177,5.898642798312182,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\c84\f86\fd9\c84f86fd-9507-e811-9415-f0921c16b9e5
